rhos,all_trusted_rhos
1,52.23365799978835,81.90231122961785
2,40.403572998936035,77.58483172946741
3,49.41675483590405,83.4469522668811
4,57.10285645988393,77.42143879196168
5,55.128386926939534,86.68638648825137
6,59.276976700866555,84.85666550840959
7,52.796966626872404,79.95185768489004
8,52.92277537519008,81.70329004764437
9,54.42680309160107,83.68137314514931
10,56.0674782477512,82.95648638018709
11,56.15644682873401,85.66612750511828
12,52.36847925799083,71.67521224645674
13,41.27117673859162,86.56791610445404
14,44.22138199954973,76.18028821039033
15,55.28020193762947,82.0344715087679
16,72.96676985237855,86.38056167300128
17,46.72227311250372,82.65894482194823
18,46.00477185142601,75.91042674100467
19,58.349916327384534,86.12105519118975
20,39.51934949890898,84.83930770138515
21,53.75700648722019,84.42251906903765
22,50.52205313158597,79.03794545350473
23,55.38835456603223,67.43936791307735
24,53.84119872516167,62.25742758315114
25,46.71941542324142,74.50789254345423
26,45.38114269924835,82.70169816774316
27,56.139884138670354,85.53568785722743
28,50.06570305211707,81.10363029001581
29,50.56672698997758,87.81170509801478
30,46.01193584194969,79.63539009617404
31,50.72574553433348,70.22282968397595
32,51.389119182297044,72.37597059208234
33,50.15290950357311,83.00414263939174
34,50.898972479205916,56.76938913150236
35,50.009198774771356,81.3633457662543
36,47.57681504239211,90.21717095919189
37,41.79205515318738,64.79095203750813
38,36.767288389730524,68.97303112567273
39,39.619476566822364,85.9434592976848
40,50.21968142621291,85.62831344973887
41,45.23763222635473,83.8175779142452
42,51.3406475763197,86.60949393241046
43,51.81473243651824,85.30874065198213
44,29.692051851923782,66.64876501677564
45,45.35365067864421,85.69704258721086
46,55.76935738617363,84.43319837069537
47,46.13987671356332,81.76886382020336
48,37.96736355299359,78.07572649852389
49,53.41314515617057,78.19843452342758
50,39.17926926176327,78.50984411309052
